Sl. No.,Country,MMR
1,Sierra Leone,1100
2,Chad,980
3,Central African Republic,880
4,Somalia,850
5,Burundi,740
6,Democratic Republic of the Congo,730
7,South Sudan,730
8,Côte d’Ivoire,720
9,Guinea,650
10,Liberia,640
11,Niger,630
12,Cameroon,590
13,Guinea-Bissau,560
14,Nigeria,560
15,Mali,550
16,Malawi,510
17,Lesotho,490
18,Mozambique,480
19,Zimbabwe,470
20,Angola,460
21,Togo,450
22,Madagascar,440
23,Gambia,430
24,Ethiopia,420
25,Congo,410
26,United Republic of Tanzania,410
27,Afghanistan,400
28,Burkina Faso,400
29,Kenya,400
30,Eritrea,380
31,Ghana,380
32,Haiti,380
33,Sudan,360
34,Uganda,360
35,Comoros,350
36,Benin,340
37,Mauritania,320
38,Rwanda,320
39,Senegal,320
40,Swaziland,310
41,Equatorial Guinea,290
42,Zambia,280
43,Timor-Leste,270
44,Yemen,270
45,Guyana,250
46,Gabon,240
47,Dijibouti,230
48,Lao People’s2Democratic Republic,220
49,Papua New  making2Guinea,220
50,Sao Tome and2Principe,210
51,Bolivia2(Plurinational,200
52,Myanmar,200
53,India,190
54,Indonesia,190
55,Nepal,190
56,Bangladesh,170
57,Botswana,170
58,Cambodia,170
59,Pakistan,170
60,Guatemala,140
61,South Africa,140
62,Kiribati,130
63,Namibia,130
64,Solomon Islands,130
65,Suriname,130
66,Bhutan,120
67,Honduras,120
68,Morocco,120
69,Philippines,120
70,Tonga,120
71,Paraguay,110
72,Venezuela2(Bolivarian Republic of ),110
73,Dominican Republic,100
74,Nicaragua,100
75,Micronesia2(Federated States of ),96
76,Algeria,89
77,Peru,89
78,Democratic2People’s Republic of Korea,87
79,Ecuador,87
80,Vanuatu,86
81,Panama,85
82,Trinidad and2Tobago,84
83,Colombia,83
84,Cuba,80
85,Jamaica,80
86,Kyrgyzstan,75
87,Mauritius,73
88,Argentina,69
89,Brazil,69
90,El Salvador,69
91,Mongolia,68
92,Iraq,67
93,Turkmenistan,61
94,Fiji,59
95,Samoa,58
96,Cabo Verde,53
97,Barbados,52
98,Jordan,50
99,Mexico,49
100,Syrian Arab2Republic,49
101,Viet Nam,49
102,Occupied2Palestinian Territory,47
103,Tunisia,46
104,Belize,45
105,Egypt,45
106,Saint Vincent and the Grenadines,45
107,Tajikistan,44
108,Georgia,41
109,Costa Rica,38
110,Bahamas,37
111,Uzbekistan,36
112,Saint Lucia,34
113,Romania,33
114,China,32
115,Maldives,31
116,Armenia,29
117,Malaysia,29
118,Sri Lanka,29
119,United States of2America,28
120,Brunei Darussalam,27
121,Republic of Korea,27
122,Azerbaijan,26
123,Kazakhstan,26
124,Thailand,26
125,Russian2Federation,24
126,Grenada,23
127,Iran (Islamic2Republic of),23
128,Ukraine,23
129,Bahrain,22
130,Chile,22
131,Albania,21
132,Republic of2Moldova,21
133,Puerto Rico,20
134,Turkey,20
135,Lebanon,16
136,Saudi Arabia,16
137,Serbia,16
138,Libya,15
139,Hungary,14
140,Kuwait,14
141,Uruguay,14
142,Croatia,13
143,Latvia,13
144,Canadad,11
145,Estonia,11
146,Lithuania,11
147,Luxembourg,11
148,Oman,11
149,Cyprus,10
150,France,9
151,Ireland,9
152,Malta,9
153,Bosnia and2Herzegovina,8
154,New Zealand,8
155,Portugal,8
156,United Arab Emirates,8
157,United Kingdom,8
158,Germany,7
159,Montenegro,7
160,Slovakia,7
161,Slovenia,7
162,The former Yugoslav Republic of Macedonia,7
163,Australia,6
164,Belgium,6
165,Japan,6
166,Netherlands,6
167,Qatar,6
168,Singapore,6
169,Switzerland,6
170,Bulgaria,5
171,Czech Republic,5
172,Denmark,5
173,Greece,5
174,Austria,4
175,Finland,4
176,Iceland,4
177,Italy,4
178,Norway,4
179,Spain,4
180,Sweden,4
181,Poland,3
182,Israel,2
183,Belarus,1
