S. No.,States/UT,"Total Number of SNCU (up to January, 2020)"
1,Andaman & Nicobar Islands,1
2,Andhra Pradesh,47
3,Arunachal Pradesh,5
4,Assam,28
5,Bihar,43
6,Chandigarh,3
7,Chhattisgarh,23
8,Dadar & Nagar Haveli,1
9,Daman & Diu,1
10,Delhi,19
11,Goa,3
12,Gujarat,46
13,Haryana,29
14,Himachal Pradesh,15
15,Jammu & Kashmir,27
16,Jharkhand,19
17,Karnataka,42
18,Kerala,17
19,Lakshadweep,2
20,Madhya Pradesh,54
21,Maharashtra,51
22,Manipur,5
23,Meghalaya,5
24,Mizoram,5
25,Nagaland,3
26,Odisha,40
27,Pondicherry,4
28,Punjab,24
29,Rajasthan,60
30,Sikkim,2
31,Tamilnadu,73
32,Telangana,27
33,Tripura,6
34,Uttar Pradesh,81
35,Uttarakhand,5
36,West Bengal,69
37,Ladakh,2
Total,Total,887
