Sl.No,State/UT,National Health Mission - 2015-16,National Health Mission - 2016-17,National AIDS Control Programme - 2015-16,National AIDS Control Programme - 2016-17
1,Andaman and Nicobar Islands,11.47,28.83,0.96,1.68
2,Andhra Pradesh,1090.17,1247.63,21.19,40.96
3,Arunachal Pradesh,146.27,165.16,5.87,10.92
4,Assam,1186.01,1331.77,16.67,17.53
5,Bihar,1621.67,1536.72,31.5,22.08
6,Chandigarh,20.98,20.36,6.29,5.91
7,Chhattisgarh,758.28,987.4,17.68,20.51
8,Dadra and Nagar Haveli,15.54,17.22,0.82,1.22
9,Daman and Diu,15.69,9.97,1.89,2.6
10,Delhi,137.29,147.56,23.58,42.71
11,Goa,24.92,40.52,4.78,4.91
12,Gujarat,1272.42,1376.91,42.24,55.39
13,Haryana,493.23,510,16.1,16.13
14,Himachal Pradesh,281.26,343.39,7.71,9.7
15,Jammu and Kashmir,420.94,414.43,8.99,6.74
16,Jharkhand,590.18,570.6,13.29,11.7
17,Karnataka,1141.61,1268.33,61.64,72.97
18,Kerala,632.88,737.69,22.76,26.79
19,Lakshadweep,2.72,4.32,0.22,0.17
20,Madhya Pradesh,2046.6,1956.84,33.52,35.17
21,Maharashtra,1734.44,1773.47,98.02,108.04
22,Manipur,105.51,78.99,17.88,31.94
23,Meghalaya,133.55,145.68,4.38,5.75
24,Mizoram,94.68,90.45,14.39,14.93
25,Nagaland,81.05,134.55,19.36,18.87
26,Orissa,1205.77,1255.88,27.14,30.15
27,Pudducherry,21.77,32.56,3.79,3.71
28,Punjab,649.49,687.75,28.09,31.16
29,Rajasthan,1799.11,1856.77,31.43,32.56
30,Sikkim,50.71,50.57,4.75,3.81
31,Tamil Nadu,1633.37,1816.97,58.27,72.39
32,Telangana,505.55,687.15,34.44,31.95
33,Tripura,118.77,141.27,7.45,6.95
34,Uttar Pradesh,4451.78,4901.1,52.37,60.75
35,Uttarakhand,335.95,346.01,12.86,10.35
36,West Bengal,1487.62,1743.92,38.8,37.81
Total,Total,26320.61,28458.73,791.12,906.91
