States/UTs,Dial 108,Dial 102/104,Other patients transport vehicle,Total Ambulance under NHM,State Ambulances
Bihar,10,1049,53,1112,164
Chhattisgarh,237,363,0,600,400
Himachal Pradesh,198,126,0,324,138
Jammu & Kashmir,0,331,0,331,712
Jharkhand,149,0,2581,2730,271
Madhya Pradesh,606,740,0,1346,0
Orissa,444,491,0,935,280
Rajasthan,730,587,0,1317,363
Uttar Pradesh,1488,2270,150,3908,0
Uttarakhand,139,109,0,248,160
Arunachal Pradesh,0,123,0,123,121
Assam,380,316,235,931,0
Manipur,0,43,0,43,24
Meghalaya,43,0,0,43,16
Mizoram,0,60,0,60,9
Nagaland,0,80,0,80,0
Sikkim,0,0,0,0,31
Tripura,0,0,0,0,72
Andhra Pradesh,439,0,0,439,0
Goa,40,0,4,44,74
Gujarat,585,0,0,585,1510
Haryana,352,0,0,352,0
Karnataka,711,0,200,911,627
Kerala,43,0,0,43,447
Maharashtra,937,2674,0,3611,3461
Punjab,242,0,0,242,496
Tamil Nadu,829,0,0,829,950
Telangana,316,0,0,316,362
West Bengal,0,0,2960,2960,281
A&N Island,0,1,0,1,52
Chandigarh,6,9,0,15,0
D&N Haveli,0,0,0,0,15
Daman & Diu,7,4,0,11,12
Delhi,0,265,0,265,35
Lakshadweep,0,0,0,0,14
Puducherry,11,0,0,11,53
All-India,8942,9641,6183,24766,11150
