Sr. No,Name of State/UT,Amount Approved in 2014-15 ( Rs. in Lakhs)
1.       ,Assam,1313.84
2.       ,Bihar,3676.95
3.       ,Chhattisgarh,168.4
4.       ,Jharkhand,158.33
5.       ,Jammu and Kashmir,1704.78
6.       ,Madhya Pradesh,1715.4
7.       ,Odisha,2600.3
8.       ,Rajasthan,2769.57
9.       ,Uttar Pradesh,21668.96
10.   ,Uttarakhand,699.07
11.   ,Arunachal Pradesh,126.72
12.   ,Manipur,455.26
13.   ,Meghalaya,307.72
14.   ,Mizoram,84.53
15.   ,Nagaland,105.6
16.   ,Sikkim,53.21
17.   ,Tripura,540.84
18.   ,Andhra Pradesh,293.76
19.   ,Goa,63.17
20.   ,Gujarat,2481.3
21.   ,Haryana,1171.42
22.   ,Himachal,353.76
23.   ,Karnataka,1470.95
24.   ,Kerala,2087.58
25.   ,Maharashtra,1462.31
26.   ,Punjab,1597.91
27.   ,Tamil Nadu,2133.89
28.   ,West Bengal,726
29.   ,Telangana,1823.75
30.   ,A and N Islands,163.9
31.   ,Chandigarh,54.59
32.   ,D and N Haveli,19.73
33.   ,Daman,7.56
34.   ,Delhi,0
35.   ,Lakshadweep,69.3
36.   ,Puducherry,220.66
Grand Total,Grand Total,54351.02
