State/UT,Total ASHAs
Bihar,87788
Chhattisgarh,70008
Himachal Pradesh,32374
Jammu & Kashmir,11916
Jharkhand,41199
Madhya Pradesh,73466
Odisha,48206
Rajasthan,61927
Uttar Pradesh,168246
Uttarakhand,11665
Arunchal Pradesh,3868
Assam,31955
Manipur,4090
Meghalaya,6671
Mizoram,1170
Nagaland,1922
Sikkim,666
Tripura,7946
Andhra Pradesh,41669
Goa,0
Gujarat,43130
Haryana,19880
Karnataka,39497
Kerala,29935
Maharashtra,68828
Punjab,20915
Tamil Nadu,3905
Talengna,32399
West Bengal,59786
A & N Islands,407
Chandigarh,31
D & N Haveli,515
Daman & Diu,95
Delhi,5625
Lakshadweep,105
Puducherry,0
Total,1031805
