States/UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P],Note of Shortfall - [R-P],"Total Number of SNCU (up to January, 2020)",2017-18 - Total Central Allocation,2017-18 - Central Release - NRLM,2017-18 - Central Release - NRLP,2017-18 - Expenditure*,2018-19** - Total Central Allocation,2018-19** - Central Releases (NRLM),2018-19** - Expenditure *,2019-20 - Total Central Allocation,2019-20 - Central Releases (NRLM) Upto Oct. 2019,2019-20 - Expenditure * Upto Aug.2019,*Mobile Medical Units (MMUs) Operational,National Health Mission - 2015-16,National Health Mission - 2016-17,National AIDS Control Programme - 2015-16,National AIDS Control Programme - 2016-17,Dial 108,Dial 102/104,Other patients transport vehicle,Total Ambulance under NHM,State Ambulances,Amount Approved in 2014-15 ( Rs. in Lakhs),Total ASHAs,SubCenters_x,PHCs_x,CHCs_x,ANM/Health_Worker_Female_x,Doctors_x,Specialists_x,Radiographers_x,Pharmacists_x,LabTechinicians,NursingStaff_x,SubCenters_y,PHCs_y,CHCs_y,ANM/Health_Worker_Female_y,Doctors_y,Specialists_y,Radiographers_y,Pharmacists_y,LabTechnicians_x,NursingStaff_y,ANM_Vacent,ANM_Shortfall,Doctors_Vacent,Doctors_Shortfall,Specialists_Vacent,Specialists_Shortfall,Radiographers_Vacent,Radiographers_Shortfall,Pharmacists_Vacent,Pharmacists_Shortfall,LabTechnicians_Vacent,LabTechnicians_Shortfall,NursingStaff_Vacent,Nursing_Shortfall,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechnicians_y,NursingStaff,Rural_Population,Rural_Population_Density,Urban_Population,Urban_Population_Density,Total_Population,Total_Population_Density,Rural_Population_%,Tribal_Area,Rural_Area,Urban_Area,Total_Area,Rural_%,Number_of_Districts,Number_of_Villages
Andaman & Nicobar Islands,22,42.0,34,8.0,,,,*,1,100.0,99.7,0.0,0.0,100.0,150.0,0.0,200.0,100.0,0.0,0,11.47,28.83,0.96,1.68,0,1,0,1,52,163.9,407,107,20,4,127,36,0,4,28,24,108,124,22,4,336,34,0,0,49,19,193,*,*,*,*,,15.0,0,0,*,*,*,1,*,*,124,22,4,179,48,1,4,29,25,148,229000,28.0,170000,4483,399000,48,57.4,1841.0,8211.08,37.92,8249,99.54,3,560
Andhra Pradesh,1147,1952.0,1644,308.0,,,,*,47,6214.57,9321.86,0.0,15003.57,8638.93,11922.19,19562.52,11924.13,5962.07,1830.44,277,1090.17,1247.63,21.19,40.96,439,0,0,439,0,293.76,41669,12522,1570,164,13740,2137,224,140,1637,1437,2053,7437,1145,140,11815,1715,237,40,1016,817,2861,1384,*,63,*,63,249.0,56,85,224,244,328,370,333,*,7437,1142,141,15742,1798,315,56,1039,913,3088,34256000,216.0,18343000,4453,52599000,323,65.1,14132.0,158856.0,4119.0,162975,97.47,13,17950
Arunachal Pradesh,143,,122,,21.0,,,,5,920.0,1496.33,0.0,472.25,3177.0,2575.02,2239.01,5597.11,2798.56,652.79,16,146.27,165.16,5.87,10.92,0,123,0,123,121,126.72,3868,379,85,31,454,78,0,22,31,18,105,385,143,63,689,116,4,17,101,113,617,,4,,*,,226.0,,47,,71,,59,,*,356,119,60,471,194,14,13,108,120,679,1141000,,381000,,1522000,18,75.0,,,,83743,,20,5545
Assam,1014,,1048,,,,,*,28,9885.0,9595.1,2122.91,16089.46,17694.0,19618.0,19533.94,20781.78,20781.78,11986.0,50,1186.01,1331.77,16.67,17.53,380,316,235,931,0,1313.84,31955,5109,610,100,5719,0,0,0,0,0,0,4643,946,177,11502,1925,136,90,1779,1409,3369,*,*,*,*,*,572.0,*,73,*,*,*,*,*,*,4659,946,190,8614,1424,188,117,1384,1279,3575,29492000,382.0,5301000,4208,34793000,444,84.8,18549.42,77178.12,1259.88,78438,98.39,27,27927
Bihar,1899,2078.0,1786,292.0,113.0,#,,,43,25343.75,25343.75,6503.2,60294.84,35230.54,35230.54,60615.6,48627.99,24314.0,8357.93,7,1621.67,1536.72,31.5,22.08,10,1049,53,1112,164,3676.95,87788,10337,1648,101,0,0,0,0,0,0,0,9949,1899,150,24228,2085,82,1,287,611,1630,8465,*,2384,*,512,104.0,91,54,1075,1267,1068,1321,2248,755,9112,1702,57,15656,1745,124,3,492,438,1346,107187000,1167.0,14708000,6327,121895000,1295,87.9,,91838.28,2324.72,94163,97.53,38,45413
Chhattisgarh,785,798.0,341,457.0,444.0,,,,23,5629.01,8443.52,4523.34,20502.76,7824.92,10317.47,14919.8,10800.58,5400.29,9016.0,0,758.28,987.4,17.68,20.51,237,363,0,600,400,168.4,70008,3818,517,116,3667,628,18,95,467,348,540,5205,792,170,6808,321,61,161,1003,844,2618,456,76,423,404,519,618.0,9,9,133,16,189,151,468,*,5205,792,170,5921,388,62,161,946,811,2718,21557000,164.0,7680000,2271,29237000,216,73.7,82315.23,131810.3,3381.7,135192,97.5,27,20618
Dadra & Nagar Haveli,9,15.0,8,7.0,1.0,,,,1,100.0,0.0,0.0,0.0,100.0,50.0,0.0,200.0,0.0,0.0,1,15.54,17.22,0.82,1.22,0,0,0,0,15,19.73,515,38,6,1,38,6,2,1,8,7,10,71,9,2,137,12,0,2,14,17,51,*,*,*,*,1,15.0,0,0,*,*,*,*,*,*,94,10,4,147,13,1,4,18,23,77,230000,458.0,808000,8054,1038000,1724,22.2,306.0,501.68,100.32,602,83.34,3,101
Daman & Diu,4,3.0,7,,,,*,*,1,100.0,50.0,0.0,0.0,100.0,0.0,0.0,200.0,100.0,0.0,0,15.69,9.97,1.89,2.6,7,4,0,11,12,7.56,95,21,3,1,24,5,0,1,4,4,12,23,4,0,52,3,0,0,4,4,11,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,421000,145.0,1132000,1417,1553000,420,27.1,163.0,2903.14,798.86,3702,78.42,2,410
Goa,24,48.0,56,,,,*,*,3,300.0,150.0,0.0,0.0,300.0,150.0,0.0,400.0,0.0,0.0,0,24.92,40.52,4.78,4.91,40,0,4,44,74,63.17,0,172,19,5,179,53,7,7,27,25,119,219,24,5,250,56,5,7,41,30,135,*,*,*,*,*,10.0,2,4,*,4,*,17,*,*,218,55,6,347,75,14,2,57,44,273,36380000,193.0,32791000,4429,69171000,352,52.6,35284.32,188840.46,7403.54,196244,96.23,33,19034
Gujarat,1392,1769.0,1229,540.0,163.0,,,,46,4010.2,3800.78,528.11,6118.05,5574.6,2787.3,7688.78,7694.51,3847.26,5988.34,67,1272.42,1376.91,42.24,55.39,585,0,0,585,1510,2481.3,43130,7274,1070,272,6508,848,92,113,807,870,1453,9166,1476,362,9168,2186,118,192,1675,1729,4218,2457,1073,379,*,255,1379.0,222,222,308,287,314,347,670,944,9162,1477,348,9566,1490,13,126,1538,1478,2969,17374000,411.0,11839000,5991,29213000,661,59.5,,42235.92,1976.08,44212,95.53,22,7652
Haryana,366,687.0,429,258.0,,,,*,29,2359.27,2282.54,0.0,3526.99,3279.64,3181.56,1997.12,4526.82,2263.41,1446.34,9,493.23,510.0,16.1,16.13,352,0,0,352,0,1171.42,19880,2433,408,72,2818,862,49,106,464,231,1160,2604,379,115,4606,542,15,54,430,356,2110,803,*,275,*,108,445.0,71,80,251,98,271,103,728,*,2617,385,118,4534,491,27,38,405,400,2193,6608000,119.0,754000,2784,7362000,132,89.8,23695.0,55402.18,270.82,55673,99.51,12,21204
Himachal Pradesh,538,636.0,492,144.0,46.0,,,,15,993.58,748.78,0.0,590.92,1381.18,690.59,1058.93,1906.41,953.21,195.58,0,281.26,343.39,7.71,9.7,198,126,0,324,138,353.76,32374,2068,439,66,1790,467,0,54,375,462,1259,2089,586,87,1845,486,5,24,293,78,404,617,992,251,93,*,319.0,12,59,212,138,191,601,216,917,2092,564,85,1664,471,21,26,511,48,242,9357000,58.0,3983000,3197,13340000,82,70.1,,161844.1,1245.9,163090,99.24,20,6854
